timestamp,datetime,open,high,low,close,volume,candle_type
1735689600,2025-01-01,4094.39990234375,4134.0,4085.449951171875,4112.4501953125,763161,bullish
1735776000,2025-01-02,4120.0,4183.0,4096.9501953125,4175.75,1720835,bullish
1735862400,2025-01-03,4179.9501953125,4179.9501953125,4092.300048828125,4099.89990234375,1791953,bearish
1736121600,2025-01-06,4105.5,4149.64990234375,4066.39990234375,4095.0,2085593,bearish
1736208000,2025-01-07,4114.9501953125,4140.35009765625,4011.550048828125,4028.300048828125,2669054,bearish
1736294400,2025-01-08,4034.89990234375,4126.0,4017.75,4108.39990234375,2181277,bullish
1736380800,2025-01-09,4101.0,4137.75,4025.300048828125,4038.85009765625,2392472,bearish
1736467200,2025-01-10,4200.0,4297.0,4170.0,4265.64990234375,7894300,bullish
1736726400,2025-01-13,4245.0,4322.9501953125,4227.39990234375,4291.10009765625,4003771,bullish
1736812800,2025-01-14,4302.0,4313.89990234375,4219.0498046875,4233.0498046875,3441709,bearish
1736899200,2025-01-15,4218.0,4256.4501953125,4207.4501953125,4249.60009765625,1653474,bullish
1736985600,2025-01-16,4260.0,4294.0,4191.85009765625,4206.2998046875,2637705,bearish
1737072000,2025-01-17,4159.89990234375,4160.60009765625,4100.0498046875,4124.2998046875,1761466,bearish
1737331200,2025-01-20,4145.7998046875,4145.7998046875,4068.10009765625,4077.800048828125,1287799,bearish
1737417600,2025-01-21,4095.300048828125,4111.0,4030.0,4035.85009765625,1971591,bearish
1737504000,2025-01-22,4050.0,4163.14990234375,4044.199951171875,4156.60009765625,2409223,bullish
1737590400,2025-01-23,4168.0,4191.35009765625,4140.0498046875,4145.4501953125,1822998,bearish
1737676800,2025-01-24,4104.0,4178.0,4104.0,4152.35009765625,1910099,bullish
1737936000,2025-01-27,4102.0,4156.35009765625,4041.050048828125,4065.14990234375,1551782,bearish
1738022400,2025-01-28,4070.800048828125,4102.0,4028.300048828125,4040.300048828125,2468272,bearish
1738108800,2025-01-29,4054.0,4107.85009765625,4054.0,4099.7998046875,1217089,bullish
1738195200,2025-01-30,4099.89990234375,4129.89990234375,4058.5,4100.0498046875,1531251,bullish
1738281600,2025-01-31,4110.0,4128.4501953125,4085.25,4112.39990234375,1492943,bullish
1738368000,2025-02-01,4113.0,4135.89990234375,4056.0,4073.14990234375,437172,bearish
1738540800,2025-02-03,4030.89990234375,4077.0,3998.699951171875,4068.64990234375,1265713,bullish
1738627200,2025-02-04,4083.699951171875,4118.85009765625,4066.050048828125,4107.0498046875,2547132,bullish
1738713600,2025-02-05,4150.0,4150.0,4076.0,4091.10009765625,1693912,bearish
1738800000,2025-02-06,4105.39990234375,4139.5,4051.550048828125,4082.75,2284536,bearish
1738886400,2025-02-07,4090.0,4090.0,4008.0,4029.39990234375,1548940,bearish
1739145600,2025-02-10,4040.0,4052.0,4014.35009765625,4036.949951171875,1339511,bearish
1739232000,2025-02-11,4018.39990234375,4040.0,3955.0,3963.550048828125,1810908,bearish
1739318400,2025-02-12,3971.10009765625,4021.75,3940.14990234375,3950.14990234375,1678002,bearish
1739404800,2025-02-13,3968.0,3984.449951171875,3902.25,3910.14990234375,2277310,bearish
1739491200,2025-02-14,3925.0,3948.0,3900.0,3934.85009765625,1681975,bullish
1739750400,2025-02-17,3856.5,3934.0,3856.199951171875,3904.5,1799806,bullish
1739836800,2025-02-18,3898.39990234375,3924.39990234375,3864.5,3873.199951171875,2149879,bearish
1739923200,2025-02-19,3872.199951171875,3874.949951171875,3768.14990234375,3784.10009765625,4366672,bearish
1740009600,2025-02-20,3761.5,3788.0,3751.300048828125,3779.39990234375,2888572,bullish
1740096000,2025-02-21,3776.10009765625,3817.0,3775.0,3786.0,1833931,bullish
1740355200,2025-02-24,3743.14990234375,3763.199951171875,3670.0,3675.60009765625,2508516,bearish
1740441600,2025-02-25,3625.0,3658.0,3621.25,3629.550048828125,4101954,bullish
1740614400,2025-02-27,3611.699951171875,3638.0,3600.699951171875,3612.550048828125,3823856,bullish
1740700800,2025-02-28,3584.949951171875,3600.0,3457.0,3483.25,7085018,bearish
1740960000,2025-03-03,3485.0,3523.25,3476.14990234375,3493.050048828125,4990439,bullish
1741046400,2025-03-04,3474.0,3551.0,3464.300048828125,3532.050048828125,2797737,bullish
1741132800,2025-03-05,3520.85009765625,3600.35009765625,3520.85009765625,3547.050048828125,2501894,bullish
1741219200,2025-03-06,3557.0,3609.449951171875,3536.10009765625,3601.60009765625,2786513,bullish
1741305600,2025-03-07,3600.0,3625.0,3574.39990234375,3611.199951171875,2051315,bullish
1741564800,2025-03-10,3606.5,3622.10009765625,3582.60009765625,3589.64990234375,1004626,bearish
1741651200,2025-03-11,3558.0,3588.75,3537.64990234375,3575.300048828125,1995450,bullish
1741737600,2025-03-12,3565.0,3569.25,3486.85009765625,3506.199951171875,3174167,bearish
1741824000,2025-03-13,3502.300048828125,3524.300048828125,3484.10009765625,3511.050048828125,1693004,bullish
1742169600,2025-03-17,3489.0,3530.449951171875,3477.35009765625,3497.699951171875,2690906,bullish
1742256000,2025-03-18,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0,doji
1742342400,2025-03-19,3547.0,3547.0,3462.75,3497.10009765625,3051244,bearish
1742428800,2025-03-20,3512.0,3578.949951171875,3512.0,3563.14990234375,2845192,bullish
1742515200,2025-03-21,3475.0,3616.25,3465.0,3578.10009765625,4161925,bullish
1742774400,2025-03-24,3600.0,3649.75,3566.60009765625,3628.949951171875,1834751,bullish
1742860800,2025-03-25,3645.0,3710.0,3638.0,3657.75,3135390,bullish
1742947200,2025-03-26,3647.75,3680.5,3625.85009765625,3635.800048828125,1734499,bearish
1743033600,2025-03-27,3614.85009765625,3663.0,3610.5,3651.199951171875,2528474,bullish
1743120000,2025-03-28,3651.0,3660.949951171875,3591.89990234375,3606.14990234375,2051919,bearish
1743465600,2025-04-01,3572.699951171875,3584.0,3525.0,3550.800048828125,2618493,bearish
1743552000,2025-04-02,3544.0,3564.10009765625,3530.050048828125,3543.949951171875,1764313,bearish
1743638400,2025-04-03,3491.0,3502.0,3396.14990234375,3403.14990234375,4537821,bearish
1743724800,2025-04-04,3362.60009765625,3399.64990234375,3295.5,3299.39990234375,5317367,bearish
1743984000,2025-04-07,3100.0,3291.39990234375,3056.050048828125,3274.050048828125,6623955,bullish
1744070400,2025-04-08,3302.050048828125,3349.0,3255.300048828125,3292.949951171875,5557558,bearish
1744156800,2025-04-09,3260.550048828125,3270.0,3212.050048828125,3246.60009765625,2990265,bearish
1744329600,2025-04-11,3289.550048828125,3298.949951171875,3206.0,3231.5,7108961,bearish
1744675200,2025-04-15,3314.39990234375,3314.39990234375,3238.60009765625,3248.199951171875,3512160,bearish
1744761600,2025-04-16,3248.199951171875,3278.10009765625,3229.0,3273.800048828125,2384391,bullish
1744848000,2025-04-17,3245.5,3303.60009765625,3218.0,3298.89990234375,2932346,bullish
1745193600,2025-04-21,3290.10009765625,3354.0,3284.10009765625,3321.60009765625,2432946,bullish
1745280000,2025-04-22,3322.60009765625,3333.89990234375,3295.0,3314.39990234375,2710498,bearish
1745366400,2025-04-23,3365.0,3420.89990234375,3337.300048828125,3413.0,3543923,bullish
1745452800,2025-04-24,3401.10009765625,3412.5,3387.699951171875,3401.60009765625,2252175,bullish
1745539200,2025-04-25,3420.0,3477.800048828125,3405.0,3448.0,2742991,bullish
1745798400,2025-04-28,3435.0,3457.800048828125,3405.0,3443.5,1593296,bullish
1745884800,2025-04-29,3455.0,3495.0,3430.39990234375,3472.5,1578332,bullish
1745971200,2025-04-30,3472.0,3509.89990234375,3366.0,3453.699951171875,2809332,bearish
1746144000,2025-05-02,3472.0,3491.5,3420.0,3431.0,1721761,bearish
1746403200,2025-05-05,3450.0,3504.5,3446.39990234375,3454.300048828125,1284443,bullish
1746489600,2025-05-06,3460.0,3473.0,3437.0,3460.0,1324763,doji
1746576000,2025-05-07,3420.60009765625,3459.5,3420.60009765625,3445.10009765625,1477128,bullish
1746662400,2025-05-08,3448.0,3477.0,3428.699951171875,3448.89990234375,2543591,bullish
1746748800,2025-05-09,3399.0,3446.199951171875,3398.10009765625,3440.300048828125,2531757,bullish
1747008000,2025-05-12,3505.0,3630.5,3502.199951171875,3620.39990234375,2228678,bullish
1747094400,2025-05-13,3620.39990234375,3623.0,3510.5,3515.0,3062887,bearish
1747180800,2025-05-14,3521.0,3561.0,3508.60009765625,3548.699951171875,2119499,bullish
1747267200,2025-05-15,3564.0,3600.0,3514.10009765625,3579.89990234375,3548330,bullish
1747353600,2025-05-16,3593.89990234375,3593.89990234375,3546.10009765625,3561.300048828125,1666727,bearish
1747612800,2025-05-19,3550.0,3550.0,3503.699951171875,3518.800048828125,2537377,bearish
1747699200,2025-05-20,3531.800048828125,3558.0,3494.0,3498.300048828125,2038374,bearish
1747785600,2025-05-21,3508.0,3537.0,3498.300048828125,3525.800048828125,1440153,bullish
1747872000,2025-05-22,3495.0,3497.800048828125,3451.300048828125,3477.0,2034383,bearish
